date,sentiment_score
2025-02-20,-0.9265892
2025-02-19,-0.71959436
2025-02-18,-0.78077
2025-02-17,-0.6630205
2025-02-16,-0.791403
2025-02-15,-0.65663487
2025-02-14,-0.49572223
2025-02-13,-0.80740213
2025-02-12,-0.8583824
2025-02-11,-0.23104648
2025-02-10,-0.6946382
2025-02-09,-0.996872
2025-02-08,-0.69490236
2025-02-07,-0.7968221
2025-02-06,-0.670632
2025-02-05,-0.95426446
2025-02-04,-0.41385573
2025-02-03,-0.88886195
2025-02-02,-0.60779226
2025-02-01,-0.61286587
2025-01-31,-0.57387465
2025-01-30,-0.76701987
2025-01-29,-0.8407248
2025-01-28,-0.9853371
2025-01-27,-0.7845977
2025-01-26,-0.66791236
2025-01-25,-0.41703206
2025-01-24,-0.7616251
2025-01-23,-0.62970084
2025-01-22,-0.39230302
2025-01-21,-0.78894323
2025-01-20,-0.8326756
2025-01-19,-0.7204547
2025-01-18,-0.64735013
2025-01-17,-0.6111258
2025-01-16,-0.9704169
2025-01-15,-0.7253942
2025-01-14,-0.82373315
2025-01-13,-0.40235552
2025-01-12,-0.1568695
2025-01-11,-0.71319693
2025-01-10,-0.86859953
2025-01-09,-0.7187229
2025-01-08,-0.35727876
2025-01-07,-0.34077471
2025-01-06,-0.52065223
2025-01-05,-0.49997717
2025-01-04,-0.6337549
2025-01-03,-0.67940575
2025-01-02,-0.6225077
2025-01-01,-0.73482674
