date,sentiment_score
2025-02-20,-0.8531892
2025-02-19,-0.80305135
2025-02-18,-0.39133024
2025-02-17,-0.7116004
2025-02-16,-0.5116101
2025-02-15,-0.28532726
2025-02-14,-0.28556654
2025-02-13,-0.78814614
2025-02-12,-0.9919404
2025-02-11,-0.64740705
2025-02-10,-0.4322594
2025-02-09,-0.8952567
2025-02-08,-0.81891006
2025-02-07,-0.8580146
2025-02-06,-0.5989156
2025-02-05,-0.7136199
2025-02-04,-0.7408236
2025-02-03,-0.67801183
2025-02-02,-0.88495225
2025-02-01,-0.36946404
2025-01-31,-0.54491884
2025-01-30,-0.6311101
2025-01-29,-0.562181
2025-01-28,-0.8004773
2025-01-27,-0.7609145
2025-01-26,-0.37785083
2025-01-25,-0.49774027
2025-01-24,-0.70179576
2025-01-23,-0.7375394
2025-01-22,-0.5663283
2025-01-21,-0.8782382
2025-01-20,-0.82748616
2025-01-19,-0.2134107
2025-01-18,-0.7652129
2025-01-17,-0.28645295
2025-01-16,-0.89883626
2025-01-15,-0.27498275
2025-01-14,-0.7528173
2025-01-13,-0.4383811
2025-01-12,-0.6283942
2025-01-11,-0.58750176
2025-01-10,-0.6838824
2025-01-09,-0.57968795
2025-01-08,-0.44980162
2025-01-07,-0.45740318
2025-01-06,-0.737572
2025-01-05,-0.46203345
2025-01-04,-0.8250884
2025-01-03,-0.84266996
2025-01-02,-0.9144877
2025-01-01,-0.5998241
2024-12-31,-0.6979092
2024-12-30,-0.8357128
2024-12-29,-0.61670125
2024-12-28,-0.59808004
2024-12-27,-0.7947329
2024-12-26,-0.8321803
2024-12-25,-0.2022626
2024-12-24,-0.56739086
2024-12-23,-0.6494397
2024-12-22,-0.8923175
2024-12-21,-0.50111294
2024-12-20,-0.6916356
2024-12-19,-0.36650315
2024-12-18,-0.8675602
2024-12-17,-0.89433175
2024-12-16,-0.5867132
2024-12-15,-0.66904247
2024-12-14,-0.6884785
2024-12-13,-0.7168426
2024-12-12,-0.78312826
2024-12-11,-0.99515724
2024-12-10,-0.95766973
2024-12-09,-0.8629918
2024-12-08,-0.6964644
2024-12-07,-0.39809373
2024-12-06,-0.5979621
2024-12-05,-0.82828176
2024-12-04,-0.6172674
2024-12-03,-0.5701165
2024-12-02,-0.53234106
2024-12-01,-0.4884799
2024-11-30,-0.48766536
2024-11-29,-0.43312874
2024-11-28,-0.49812475
2024-11-27,0.017592859
2024-11-26,-0.34958753
2024-11-25,-0.70670223
2024-11-24,-0.617474
2024-11-23,-0.7566879
2024-11-22,-0.67347425
2024-11-21,-0.9039831
2024-11-20,-0.88985854
2024-11-19,-0.7091131
2024-11-18,-0.18580882
2024-11-17,-0.740452
2024-11-16,-0.46650943
2024-11-15,-0.9856123
2024-11-14,-0.53258646
2024-11-13,-0.79956245
2024-11-12,-0.60119826
2024-11-11,-0.6044791
2024-11-10,-0.8123673
2024-11-09,-0.55554044
2024-11-08,-0.51328915
2024-11-07,-0.41508684
2024-11-06,-0.45178524
2024-11-05,-0.39822587
2024-11-04,-0.85114527
2024-11-03,-0.6431168
2024-11-02,-0.3943407
2024-11-01,-0.7366774
2024-10-31,-0.63544405
2024-10-30,-0.7450225
2024-10-29,-0.68121207
2024-10-28,-0.9920174
2024-10-27,-0.72637
2024-10-26,-0.33393046
2024-10-25,-0.60824674
2024-10-24,-0.45919046
2024-10-23,-0.6296842
2024-10-22,-0.6125653
2024-10-21,-0.76161855
2024-10-20,-0.27589718
2024-10-19,-0.030322075
2024-10-18,-0.46588215
2024-10-17,-0.46665698
2024-10-16,-0.40702906
2024-10-15,-0.5318761
2024-10-14,-0.88111293
2024-10-13,-0.88286674
2024-10-12,-0.6238325
2024-10-11,-0.67184234
2024-10-10,-0.8248879
2024-10-09,-0.8981036
2024-10-08,-0.79594815
2024-10-07,-0.8997725
2024-10-06,-0.41546345
2024-10-05,-0.9502553
2024-10-04,-0.70031804
2024-10-03,-0.9388666
2024-10-02,-0.7325212
2024-10-01,-0.73474395
2024-09-30,-0.5596901
2024-09-29,-0.8029401
2024-09-28,-0.6435802
2024-09-27,-0.44908896
2024-09-26,-0.27877447
2024-09-25,-0.7986786
2024-09-24,-0.7359748
2024-09-23,-0.7649189
2024-09-22,-0.9886198
2024-09-21,-0.8283064
2024-09-20,-0.8975214
2024-09-19,-0.9715204
2024-09-18,-0.69960225
2024-09-17,-0.5910603
2024-09-16,-0.8985292
2024-09-15,-0.45424965
2024-09-14,0.016957164
2024-09-13,-0.7807078
2024-09-12,-0.8488304
2024-09-11,-0.6968437
2024-09-10,-0.99300367
2024-09-09,-0.9995092
2024-09-08,-0.64558446
2024-09-07,-0.8887248
2024-09-06,-0.80536854
2024-09-05,-0.80705994
2024-09-04,-0.8236213
2024-09-03,-0.734695
2024-09-02,-0.7182695
2024-09-01,-0.6892484
2024-08-31,-0.9507974
2024-08-30,-0.64321893
2024-08-29,-0.5879657
2024-08-28,-0.7955953
2024-08-27,-0.9920821
2024-08-26,-0.9939985
2024-08-25,-0.63201296
2024-08-24,-0.8603419
2024-08-23,-0.6415725
2024-08-22,-0.46705088
2024-08-21,-0.9954693
2024-08-20,-0.6529863
2024-08-19,-0.70012355
2024-08-18,-0.76224715
2024-08-17,-0.559667
2024-08-16,-0.5989721
2024-08-15,-0.76300853
2024-08-14,-0.85349905
2024-08-13,-0.91799
2024-08-12,-0.9965626
2024-08-11,-0.6217664
2024-08-10,-0.59604675
2024-08-09,-0.91579455
2024-08-08,-0.86470336
2024-08-07,-0.79042834
2024-08-06,-0.9782179
2024-08-05,-0.82507056
2024-08-04,-0.6856925
2024-08-03,-0.8262734
2024-08-02,-0.4490304
2024-08-01,-0.190646
2024-07-31,-0.60514265
2024-07-30,-0.8642149
2024-07-29,-0.72476923
2024-07-28,0.004682994
2024-07-27,-0.6969555
2024-07-26,-0.69017744
2024-07-25,-0.78196895
2024-07-24,-0.9012124
2024-07-23,-0.6958982
2024-07-22,-0.40653318
2024-07-21,0.053244196
2024-07-20,-0.9949376
2024-07-19,-0.495575
2024-07-18,-0.5795791
2024-07-17,-0.78227854
2024-07-16,-0.80551994
2024-07-15,-0.8995059
2024-07-14,-0.5989078
2024-07-13,-0.7523359
2024-07-12,-0.53549814
2024-07-11,-0.99761647
2024-07-10,-0.80362684
2024-07-09,-0.74447453
2024-07-08,-0.5905115
2024-07-07,-0.5534146
2024-07-06,-0.42302683
2024-07-05,-0.54470915
2024-07-04,-0.55637795
2024-07-03,-0.48547307
2024-07-02,-0.4025558
2024-07-01,-0.64248943
2024-06-30,-0.99434537
2024-06-29,-0.50734264
2024-06-28,-0.32167646
2024-06-27,-0.73828083
2024-06-26,-0.29692906
2024-06-25,-0.147832
2024-06-24,-0.25410873
2024-06-23,-0.9568308
2024-06-22,-0.46733007
2024-06-21,-0.77852094
2024-06-20,-0.9469762
2024-06-19,-0.64333856
2024-06-18,-0.13093133
2024-06-17,-0.88070905
2024-06-16,-0.8138965
2024-06-15,-0.48050153
2024-06-14,-0.48755708
2024-06-13,-0.8018414
2024-06-12,-0.7527136
2024-06-11,-0.5394272
2024-06-10,-0.7325629
2024-06-09,-0.5676756
2024-06-08,-0.826744
2024-06-07,-0.83404845
2024-06-06,-0.74918306
2024-06-05,-0.6587271
2024-06-04,-0.9122592
2024-06-03,-0.9929899
2024-06-02,-0.7278038
